 frequency       vdb(16)         vp(16)         
 1.14815362e+06 -3.71671931e+01  1.00290892e+00 
 1.20226443e+06 -3.87558029e+01  9.51988482e-01 
 1.25892541e+06 -4.03474257e+01  9.03654832e-01 
 1.31825674e+06 -4.19414807e+01  8.57744402e-01 
 1.38038426e+06 -4.35374913e+01  8.14103968e-01 
 1.44543977e+06 -4.51350676e+01  7.72590249e-01 
 1.51356125e+06 -4.67338918e+01  7.33069407e-01 
 1.58489319e+06 -4.83337063e+01  6.95416489e-01 
 1.65958691e+06 -4.99343030e+01  6.59514841e-01 
 1.73780083e+06 -5.15355151e+01  6.25255524e-01 
 1.81970086e+06 -5.31372099e+01  5.92536733e-01 
 1.90546072e+06 -5.47392825e+01  5.61263250e-01 
 1.99526231e+06 -5.63416517e+01  5.31345912e-01 
 2.08929613e+06 -5.79442551e+01  5.02701126e-01 
 2.18776162e+06 -5.95470462e+01  4.75250404e-01 
 2.29086765e+06 -6.11499918e+01  4.48919942e-01 
 2.39883292e+06 -6.27530692e+01  4.23640227e-01 
 2.51188643e+06 -6.43562653e+01  3.99345680e-01 
 2.63026799e+06 -6.59595741e+01  3.75974323e-01 
 2.75422870e+06 -6.75629963e+01  3.53467482e-01 
 2.88403150e+06 -6.91665381e+01  3.31769509e-01 
 3.01995172e+06 -7.07702104e+01  3.10827532e-01 
 3.16227766e+06 -7.23740283e+01  2.90591228e-01 
 3.31131121e+06 -7.39780106e+01  2.71012610e-01 
 3.46736850e+06 -7.55821798e+01  2.52045844e-01 
 3.63078055e+06 -7.71865615e+01  2.33647069e-01 
 3.80189396e+06 -7.87911844e+01  2.15774243e-01 
 3.98107171e+06 -8.03960805e+01  1.98387000e-01 
 4.16869383e+06 -8.20012849e+01  1.81446519e-01 
 4.36515832e+06 -8.36068358e+01  1.64915407e-01 
 4.57088190e+06 -8.52127748e+01  1.48757588e-01 
 4.78630092e+06 -8.68191472e+01  1.32938215e-01 
 5.01187234e+06 -8.84260017e+01  1.17423575e-01 
 5.24807460e+06 -9.00333913e+01  1.02181020e-01 
 5.49540874e+06 -9.16413730e+01  8.71788940e-02 
 5.75439937e+06 -9.32500084e+01  7.23864781e-02 
 6.02559586e+06 -9.48593641e+01  5.77739397e-02 
 6.30957344e+06 -9.64695118e+01  4.33122921e-02 
 6.60693448e+06 -9.80805289e+01  2.89733624e-02 
 6.91830971e+06 -9.96924989e+01  1.47297690e-02 
 7.24435960e+06 -1.01305511e+02  5.54907707e-04 
 7.58577575e+06 -1.02919663e+02 -1.35770524e-02 
 7.94328235e+06 -1.04535058e+02 -2.76911635e-02 
 8.31763771e+06 -1.06151808e+02 -4.18116832e-02 
 8.70963590e+06 -1.07770032e+02 -5.59620486e-02 
 9.12010839e+06 -1.09389859e+02 -7.01648390e-02 
 9.54992586e+06 -1.11011425e+02 -8.44417277e-02 
 1.00000000e+07 -1.12634878e+02 -9.88134216e-02 
